 ,0
0,True
1,False
2,False
3,False
4,False
5,False
6,False
7,True
8,False
9,False
10,True
11,True
12,True
13,True
14,True
15,True
16,False
17,False
18,False
19,True
20,False
21,True
22,True
23,True
24,True
25,False
26,False
27,False
28,False
29,False
30,True
31,False
32,True
33,True
34,True
35,True
36,False
37,True
38,True
39,False
40,False
41,True
42,False
43,False
44,True
45,True
46,True
47,True
48,False
49,True
50,False
51,False
52,True
53,False
54,True
55,True
56,False
57,True
58,False
59,False
60,True
61,True
62,False
63,True
64,False
65,False
66,False
67,True
68,False
69,False
70,True
71,True
72,True
73,True
74,True
75,False
76,False
77,True
78,False
79,True
80,False
81,True
82,False
83,True
84,True
85,True
86,True
87,True
88,True
89,True
90,False
91,False
92,False
93,True
94,True
95,False
96,False
97,False
98,True
99,True
100,False
101,True
102,False
103,True
104,False
105,True
106,True
107,False
108,False
109,True
110,False
111,False
112,False
113,True
114,False
115,True
116,True
117,False
118,False
119,False
120,False
121,False
122,False
123,True
124,False
125,False
126,False
127,False
128,False
129,False
130,False
131,True
132,False
133,False
134,True
135,True
136,True
137,True
138,False
139,True
140,True
141,False
142,False
143,False
144,True
145,False
146,False
147,True
148,True
149,False
150,False
151,True
152,True
153,True
154,True
155,False
156,True
157,False
158,False
159,True
160,True
161,True
162,True
163,False
164,True
165,True
166,False
167,True
168,False
169,True
170,False
171,False
172,False
173,True
174,False
175,True
176,True
177,False
178,True
179,True
180,True
181,True
182,True
183,True
184,True
185,False
186,False
187,True
188,False
189,True
190,False
191,True
192,False
193,False
194,True
195,False
196,False
197,True
198,False
199,True
200,True
201,True
202,False
203,True
204,True
205,False
206,False
207,False
208,False
209,False
210,True
211,True
212,False
213,False
214,False
215,False
216,True
217,False
218,False
219,True
220,True
221,False
222,True
223,False
224,False
225,False
226,True
227,False
228,False
229,True
230,False
231,False
232,True
233,True
234,False
235,False
236,False
237,False
238,True
239,True
240,True
241,False
242,False
243,False
244,True
245,True
246,True
247,False
248,True
249,True
250,False
251,True
252,False
253,False
254,True
255,False
256,True
257,False
258,False
259,True
260,True
261,False
262,True
263,True
264,False
265,False
266,False
267,True
268,False
269,True
270,True
271,False
272,True
273,True
274,True
275,True
276,False
277,False
278,False
279,True
280,False
281,True
282,False
283,False
284,True
285,False
286,False
287,False
288,True
289,False
290,True
291,False
292,True
293,True
294,False
295,True
296,False
297,False
298,False
299,True
300,True
301,True
302,False
303,True
304,False
305,True
306,False
307,False
308,False
309,True
310,False
311,False
312,False
313,False
314,False
315,False
316,True
317,False
318,True
319,False
320,True
321,True
322,True
323,False
324,False
325,False
326,True
327,True
328,False
329,False
330,True
331,True
332,False
333,True
334,True
335,True
336,True
337,True
338,True
339,False
340,True
341,True
342,True
343,False
344,True
345,True
346,True
347,True
348,False
349,True
350,False
351,False
352,False
353,False
354,True
355,False
356,False
357,False
358,True
359,False
360,False
361,False
362,True
363,True
364,False
365,True
366,False
367,True
368,True
369,False
370,True
371,True
372,True
373,True
374,False
375,True
376,True
377,False
378,True
379,False
380,True
381,False
